q,w,e,r,t,y,u,i,o,p,a,s,bsg
186,0,0,208,0,0,255,0,0,255,0,0,165
115,14,8,114,18,10,191,100,88,232,146,139,107
118,20,12,119,17,19,198,107,106,236,154,157,153
207,0,0,219,0,0,255,0,0,255,0,0,266
216,0,0,217,0,0,255,0,0,255,0,0,277
151,0,0,171,0,0,255,0,0,255,85,0,227
255,0,0,255,0,0,255,0,0,255,78,0,176
197,0,0,211,0,0,255,0,0,255,0,50,198
219,0,0,228,0,0,255,0,0,255,0,0,388
244,0,0,252,0,0,255,0,0,255,0,0,127
219,0,0,230,0,0,255,70,58,255,167,125,127
206,0,0,214,0,0,255,0,0,255,0,0,191
247,0,0,252,0,0,255,0,0,255,41,0,252
252,0,0,255,0,0,255,62,0,255,109,0,165
250,0,0,255,0,0,255,0,0,255,22,0,129
242,0,0,255,0,0,255,103,55,255,155,84,108
214,0,0,213,0,0,255,0,0,255,0,0,265
210,0,0,214,0,0,255,0,0,255,0,0,163
255,0,0,255,0,0,255,100,0,255,135,0,392
215,0,0,220,0,0,255,0,0,255,0,0,152
255,0,0,255,0,0,255,95,0,255,123,0,146
234,0,0,240,0,0,255,0,0,255,25,0,149
230,0,0,241,0,0,255,0,0,255,86,0,257
244,0,0,250,0,0,255,0,0,255,41,0,70
226,0,0,233,0,0,255,0,0,255,0,0,90
236,0,0,245,0,0,255,0,0,255,0,0,102
222,0,0,234,0,0,255,0,0,255,112,0,102
255,0,0,255,0,0,255,85,0,255,119,0,265
186,0,0,203,0,0,255,0,0,255,103,0,416
210,0,0,216,0,0,255,0,0,255,0,0,123
230,0,0,246,0,0,255,69,0,255,111,0,124
215,0,0,226,0,0,255,0,0,255,0,0,292
255,0,0,255,0,0,255,110,0,255,143,0,202
255,0,0,255,0,0,255,46,0,255,93,0,231
219,0,0,225,0,0,255,0,0,255,98,0,298
255,0,0,255,0,0,255,148,0,255,180,8,119
196,0,0,215,0,0,255,0,0,255,46,2,336
255,0,0,255,0,0,255,193,134,255,241,155,270
202,0,0,206,0,0,255,0,0,255,0,0,226
213,0,0,223,0,0,255,0,0,255,0,0,236
192,0,0,195,0,0,255,0,0,255,0,0,119
195,0,0,200,0,0,255,44,0,255,48,0,109
245,0,0,254,0,0,255,0,0,255,53,0,275
198,0,0,207,0,0,255,0,0,255,0,0,154
255,0,0,255,0,0,255,0,0,255,57,0,180
255,0,0,255,0,0,255,43,0,255,88,0,223
219,0,0,229,0,0,255,0,0,255,0,0,166
152,0,0,175,0,0,255,0,47,255,82,119,131
243,0,0,252,0,0,255,0,0,255,1,0,228
228,0,0,240,0,0,255,0,0,255,54,0,181
229,0,0,240,0,0,255,0,0,255,0,0,94
152,0,0,172,0,0,255,62,93,255,128,140,221
223,0,0,230,0,0,255,0,0,255,0,0,111
193,0,0,211,0,0,255,0,0,255,0,0,228
228,0,0,235,0,0,255,0,0,255,0,0,167
179,0,0,187,0,0,254,0,0,255,7,0,375
218,0,0,223,0,0,255,0,0,255,15,51,149
229,0,0,240,0,0,255,0,0,255,0,0,94
197,0,0,204,0,0,255,0,0,255,0,0,406
245,0,0,252,0,0,255,0,0,255,45,0,193
198,0,0,206,0,0,255,0,0,255,0,0,354
216,0,0,218,0,0,255,0,0,255,0,0,492
